parameter,global_mean,global_std,n_groups,sampling,composite,source
commuter_mode_threshold,0.4995,0.2791,25,normal,no,commuter_threshold
digital_comm_intensity,0.5022,0.2686,12,normal,no,digital_comm_intensity
digital_trust,0.4993,0.2865,12,normal,no,digital_trust
domain_economic_gap,0.4985,0.2863,11,normal,no,economic_gap
domain_economic_threshold,0.5,0.1643,11,normal,no,job_loss_fear
domain_economic_weight,0.275,0.1587,12,normal,no,economic_sensitivity
domain_future_place,0.4994,0.2889,12,normal,no,place_aspiration
domain_future_value,0.4988,0.2884,35,normal,no,future_orientation
domain_social_weight,0.1754,0.1009,12,normal,no,social_domain_weight
econ_perceived_control,0.499,0.2878,10,normal,no,econ_perceived_control
external_mig_threshold,0.4993,0.2808,25,normal,no,external_mig_threshold
family_weight_modifier,0.0751,0.0433,10,normal,no,work_family_conflict
inertia_shock_sensitivity,0.1,0.0473,12,normal,no,historical_shock
inertia_social_component,0.5029,0.2873,12,normal,yes,inertia_social_component
info_quality_modifier,0.496,0.2245,12,normal,yes,info_quality_final
internal_mig_threshold,0.4993,0.276,25,normal,no,internal_mig_threshold
job_flexibility_threshold,0.5004,0.2851,25,normal,no,job_flexibility
network_job_search,0.2868,0.4368,12,bernoulli,no,network_job_search
network_location,0.2706,0.4444,12,bernoulli,no,network_location
network_signal_susceptibility,0.499,0.2856,12,normal,no,network_signal_susceptibility
perceived_control,0.4979,0.2884,12,normal,no,perceived_control
satisfaction_init,0.5,0.2772,12,normal,no,satisfaction_baseline
tenure_loyalty_bonus,0.0752,0.0432,11,normal,no,org_loyalty
weak_ties_utility,0.4986,0.2843,12,normal,no,weak_ties_utility
